"pokedex_number";"name";"type1";"type2";"generation";"percentage_male";"capture_rate";"is_legendary";"is_mythic";"is_ultra_beast";"height_m";"weight_kg";"base_total";"hp";"attack";"sp_attack";"defense";"sp_defense";"speed";"abilities";"against_bug";"against_dark";"against_dragon";"against_electric";"against_fairy";"against_fight";"against_fire";"against_flying";"against_ghost";"against_grass";"against_ground";"against_ice";"against_normal";"against_poison";"against_psychic";"against_rock";"against_steel";"against_water"
1;"Bulbasaur";"grass";"poison";1;88.1;45;0;0;0;0.7;6.9;318;45;49;65;49;65;45;"['Overgrow', 'Chlorophyll']";1.0;1.0;1.0;0.5;0.5;0.5;2.0;2.0;1.0;0.25;1.0;2.0;1.0;1.0;2.0;1.0;1.0;0.5
2;"Ivysaur";"grass";"poison";1;88.1;45;0;0;0;1.0;13.0;405;60;62;80;63;80;60;"['Overgrow', 'Chlorophyll']";1.0;1.0;1.0;0.5;0.5;0.5;2.0;2.0;1.0;0.25;1.0;2.0;1.0;1.0;2.0;1.0;1.0;0.5
3;"Venusaur";"grass";"poison";1;88.1;45;0;0;0;2.0;100.0;625;80;100;122;123;120;80;"['Overgrow', 'Chlorophyll']";1.0;1.0;1.0;0.5;0.5;0.5;2.0;2.0;1.0;0.25;1.0;2.0;1.0;1.0;2.0;1.0;1.0;0.5
4;"Charmander";"fire";"";1;88.1;45;0;0;0;0.6;8.5;309;39;52;60;43;50;65;"['Blaze', 'Solar Power']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
5;"Charmeleon";"fire";"";1;88.1;45;0;0;0;1.1;19.0;405;58;64;80;58;65;80;"['Blaze', 'Solar Power']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
6;"Charizard";"fire";"flying";1;88.1;45;0;0;0;1.7;90.5;634;78;104;159;78;115;100;"['Blaze', 'Solar Power']";0.25;1.0;1.0;2.0;0.5;0.5;0.5;1.0;1.0;0.25;0.0;1.0;1.0;1.0;1.0;4.0;0.5;2.0
7;"Squirtle";"water";"";1;88.1;45;0;0;0;0.5;9.0;314;44;48;50;65;64;43;"['Torrent', 'Rain Dish']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
8;"Wartortle";"water";"";1;88.1;45;0;0;0;1.0;22.5;405;59;63;65;80;80;58;"['Torrent', 'Rain Dish']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
9;"Blastoise";"water";"";1;88.1;45;0;0;0;1.6;85.5;630;79;103;135;120;115;78;"['Torrent', 'Rain Dish']";1.0;1.0;1.0;2.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;0.5;1.0;1.0;1.0;1.0;0.5;0.5
10;"Caterpie";"bug";"";1;50.0;255;0;0;0;0.3;2.9;195;45;30;20;35;20;45;"['Shield Dust', 'Run Away']";1.0;1.0;1.0;1.0;1.0;0.5;2.0;2.0;1.0;0.5;0.5;1.0;1.0;1.0;1.0;2.0;1.0;1.0
11;"Metapod";"bug";"";1;50.0;120;0;0;0;0.7;9.9;205;50;20;25;55;25;30;"['Shed Skin']";1.0;1.0;1.0;1.0;1.0;0.5;2.0;2.0;1.0;0.5;0.5;1.0;1.0;1.0;1.0;2.0;1.0;1.0
12;"Butterfree";"bug";"flying";1;50.0;45;0;0;0;1.1;32.0;395;60;45;90;50;80;70;"['Compoundeyes', 'Tinted Lens']";0.5;1.0;1.0;2.0;1.0;0.25;2.0;2.0;1.0;0.25;0.0;2.0;1.0;1.0;1.0;4.0;1.0;1.0
13;"Weedle";"bug";"poison";1;50.0;255;0;0;0;0.3;3.2;195;40;35;20;30;20;50;"['Shield Dust', 'Run Away']";0.5;1.0;1.0;1.0;0.5;0.25;2.0;2.0;1.0;0.25;1.0;1.0;1.0;0.5;2.0;2.0;1.0;1.0
14;"Kakuna";"bug";"poison";1;50.0;120;0;0;0;0.6;10.0;205;45;25;25;50;25;35;"['Shed Skin']";0.5;1.0;1.0;1.0;0.5;0.25;2.0;2.0;1.0;0.25;1.0;1.0;1.0;0.5;2.0;2.0;1.0;1.0
15;"Beedrill";"bug";"poison";1;50.0;45;0;0;0;1.0;29.5;495;65;150;15;40;80;145;"['Swarm', 'Sniper']";0.5;1.0;1.0;1.0;0.5;0.25;2.0;2.0;1.0;0.25;1.0;1.0;1.0;0.5;2.0;2.0;1.0;1.0
16;"Pidgey";"normal";"flying";1;50.0;255;0;0;0;0.3;1.8;251;40;45;35;40;35;56;"['Keen Eye', 'Tangled Feet', 'Big Pecks']";0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.5;0.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0
17;"Pidgeotto";"normal";"flying";1;50.0;120;0;0;0;1.1;30.0;349;63;60;50;55;50;71;"['Keen Eye', 'Tangled Feet', 'Big Pecks']";0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.5;0.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0
18;"Pidgeot";"normal";"flying";1;50.0;45;0;0;0;1.5;39.5;579;83;80;135;80;80;121;"['Keen Eye', 'Tangled Feet', 'Big Pecks']";0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.5;0.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0
19;"Rattata";"normal";"dark";1;50.0;255;0;0;0;0.3;3.5;253;30;56;25;35;35;72;"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
20;"Raticate";"normal";"dark";1;50.0;127;0;0;0;0.7;18.5;413;75;71;40;70;80;77;"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']";1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
21;"Spearow";"normal";"flying";1;50.0;255;0;0;0;0.3;2.0;262;40;60;31;30;31;70;"['Keen Eye', 'Sniper']";0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.5;0.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0
22;"Fearow";"normal";"flying";1;50.0;90;0;0;0;1.2;38.0;442;65;90;61;65;61;100;"['Keen Eye', 'Sniper']";0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;0.0;0.5;0.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0
23;"Ekans";"poison";"";1;50.0;255;0;0;0;2.0;6.9;288;35;60;40;44;54;55;"['Intimidate', 'Shed Skin', 'Unnerve']";0.5;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;0.5;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0
24;"Arbok";"poison";"";1;50.0;90;0;0;0;3.5;65.0;448;60;95;65;69;79;80;"['Intimidate', 'Shed Skin', 'Unnerve']";0.5;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;0.5;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0
25;"Pikachu";"electric";"";1;50.0;190;0;0;0;0.4;6.0;320;35;55;50;40;50;90;"['Static', 'Lightningrod']";1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
26;"Raichu";"electric";"electric";1;50.0;75;0;0;0;0.8;30.0;485;60;85;95;50;85;110;"['Static', 'Lightningrod', 'Surge Surfer']";1.0;1.0;1.0;0.5;1.0;1.0;1.0;0.5;1.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.5;1.0
27;"Sandshrew";"ground";"ice";1;50.0;255;0;0;0;0.6;12.0;300;50;75;10;90;35;40;"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']";1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
28;"Sandslash";"ground";"ice";1;50.0;90;0;0;0;1.0;29.5;450;75;100;25;120;65;65;"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']";1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;0.5;1.0;0.5;1.0;2.0
29;"Nidoran Female";"poison";"";1;0.0;235;0;0;0;0.4;7.0;275;55;47;40;52;40;41;"['Poison Point', 'Rivalry', 'Hustle']";0.5;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;0.5;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0
30;"Nidorina";"poison";"";1;0.0;120;0;0;0;0.8;20.0;365;70;62;55;67;55;56;"['Poison Point', 'Rivalry', 'Hustle']";0.5;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;0.5;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0
31;"Nidoqueen";"poison";"ground";1;0.0;45;0;0;0;1.3;60.0;505;90;92;75;87;85;76;"['Poison Point', 'Rivalry', 'Sheer Force']";0.5;1.0;1.0;0.0;0.5;0.5;1.0;1.0;1.0;1.0;2.0;2.0;1.0;0.25;2.0;0.5;1.0;2.0
32;"Nidoran Male";"poison";"";1;100.0;235;0;0;0;0.5;9.0;273;46;57;40;40;40;50;"['Poison Point', 'Rivalry', 'Hustle']";0.5;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;0.5;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0
33;"Nidorino";"poison";"";1;100.0;120;0;0;0;0.9;19.5;365;61;72;55;57;55;65;"['Poison Point', 'Rivalry', 'Hustle']";0.5;1.0;1.0;1.0;0.5;0.5;1.0;1.0;1.0;0.5;2.0;1.0;1.0;0.5;2.0;1.0;1.0;1.0
34;"Nidoking";"poison";"ground";1;100.0;45;0;0;0;1.4;62.0;505;81;102;85;77;75;85;"['Poison Point', 'Rivalry', 'Sheer Force']";0.5;1.0;1.0;0.0;0.5;0.5;1.0;1.0;1.0;1.0;2.0;2.0;1.0;0.25;2.0;0.5;1.0;2.0
35;"Clefairy";"fairy";"";1;24.6;150;0;0;0;0.6;7.5;323;70;45;60;48;65;35;"['Cute Charm', 'Magic Guard', 'Friend Guard']";0.5;0.5;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0
36;"Clefable";"fairy";"";1;24.6;25;0;0;0;1.3;40.0;483;95;70;95;73;90;60;"['Cute Charm', 'Magic Guard', 'Unaware']";0.5;0.5;0.0;1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;1.0
37;"Vulpix";"fire";"ice";1;24.6;190;0;0;0;0.6;9.9;299;38;41;50;40;65;65;"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']";0.5;1.0;1.0;1.0;0.5;1.0;0.5;1.0;1.0;0.5;2.0;0.5;1.0;1.0;1.0;2.0;0.5;2.0
