Abilities,Name,Pokedex Number,Type,Types1&2 Name,Against Bug,Against Dark,Against Dragon,Against Electric,Against Fairy,Against Fight,Against Fire,Against Flying,Against Ghost,Against Grass,Against Ground,Against Ice,Against Normal,Against Poison,Against Psychic,Against Rock,Against Steel,Against Water,Attack,Base Total,Capture Rate,Defense,Generation,Height M,Hp,Is Legendary,Is Mythic,Is Ultra Beast,Percentage Male,Sp Attack,Sp Defense,Speed,Weight Kg
"['Overgrow', 'Chlorophyll']",Bulbasaur,1,grass,Type1,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,318,45,49,1,0.7,45,0,0,0,88.1,65,65,45,6.9
"['Overgrow', 'Chlorophyll']",Bulbasaur,1,poison,Type2,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,318,45,49,1,0.7,45,0,0,0,88.1,65,65,45,6.9
"['Overgrow', 'Chlorophyll']",Ivysaur,2,grass,Type1,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,405,45,63,1,1,60,0,0,0,88.1,80,80,60,13
"['Overgrow', 'Chlorophyll']",Ivysaur,2,poison,Type2,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,62,405,45,63,1,1,60,0,0,0,88.1,80,80,60,13
"['Overgrow', 'Chlorophyll']",Venusaur,3,grass,Type1,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,625,45,123,1,2,80,0,0,0,88.1,122,120,80,100
"['Overgrow', 'Chlorophyll']",Venusaur,3,poison,Type2,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,100,625,45,123,1,2,80,0,0,0,88.1,122,120,80,100
"['Blaze', 'Solar Power']",Charmander,4,fire,Type1,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,309,45,43,1,0.6,39,0,0,0,88.1,60,50,65,8.5
"['Blaze', 'Solar Power']",Charmander,4,,Type2,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,52,309,45,43,1,0.6,39,0,0,0,88.1,60,50,65,8.5
"['Blaze', 'Solar Power']",Charmeleon,5,fire,Type1,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,405,45,58,1,1.1,58,0,0,0,88.1,80,65,80,19
"['Blaze', 'Solar Power']",Charmeleon,5,,Type2,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,64,405,45,58,1,1.1,58,0,0,0,88.1,80,65,80,19
"['Blaze', 'Solar Power']",Charizard,6,fire,Type1,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,634,45,78,1,1.7,78,0,0,0,88.1,159,115,100,90.5
"['Blaze', 'Solar Power']",Charizard,6,flying,Type2,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,104,634,45,78,1,1.7,78,0,0,0,88.1,159,115,100,90.5
