Abilities,Name,Pokedex Number,Stat,Type1,Type2,Against Bug,Against Dark,Against Dragon,Against Electric,Against Fairy,Against Fight,Against Fire,Against Flying,Against Ghost,Against Grass,Against Ground,Against Ice,Against Normal,Against Poison,Against Psychic,Against Rock,Against Steel,Against Water,Base Total,Capture Rate,Generation,Height M,Is Legendary,Percentage Male,Value,Weight Kg
"['Overgrow', 'Chlorophyll']",Bulbasaur,1,Attack,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,318,45,1,0.7,0,88.1,49,6.9
"['Overgrow', 'Chlorophyll']",Bulbasaur,1,Defense,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,318,45,1,0.7,0,88.1,49,6.9
"['Overgrow', 'Chlorophyll']",Bulbasaur,1,Hp,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,318,45,1,0.7,0,88.1,45,6.9
"['Overgrow', 'Chlorophyll']",Bulbasaur,1,Sp Attack,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,318,45,1,0.7,0,88.1,65,6.9
"['Overgrow', 'Chlorophyll']",Bulbasaur,1,Sp Defense,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,318,45,1,0.7,0,88.1,65,6.9
"['Overgrow', 'Chlorophyll']",Bulbasaur,1,Speed,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,318,45,1,0.7,0,88.1,45,6.9
"['Overgrow', 'Chlorophyll']",Ivysaur,2,Attack,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,405,45,1,1,0,88.1,62,13
"['Overgrow', 'Chlorophyll']",Ivysaur,2,Defense,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,405,45,1,1,0,88.1,63,13
"['Overgrow', 'Chlorophyll']",Ivysaur,2,Hp,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,405,45,1,1,0,88.1,60,13
"['Overgrow', 'Chlorophyll']",Ivysaur,2,Sp Attack,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,405,45,1,1,0,88.1,80,13
"['Overgrow', 'Chlorophyll']",Ivysaur,2,Sp Defense,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,405,45,1,1,0,88.1,80,13
"['Overgrow', 'Chlorophyll']",Ivysaur,2,Speed,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,405,45,1,1,0,88.1,60,13
"['Overgrow', 'Chlorophyll']",Venusaur,3,Attack,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,625,45,1,2,0,88.1,100,100
"['Overgrow', 'Chlorophyll']",Venusaur,3,Defense,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,625,45,1,2,0,88.1,123,100
"['Overgrow', 'Chlorophyll']",Venusaur,3,Hp,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,625,45,1,2,0,88.1,80,100
"['Overgrow', 'Chlorophyll']",Venusaur,3,Sp Attack,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,625,45,1,2,0,88.1,122,100
"['Overgrow', 'Chlorophyll']",Venusaur,3,Sp Defense,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,625,45,1,2,0,88.1,120,100
"['Overgrow', 'Chlorophyll']",Venusaur,3,Speed,grass,poison,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,625,45,1,2,0,88.1,80,100
"['Blaze', 'Solar Power']",Charmander,4,Attack,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,309,45,1,0.6,0,88.1,52,8.5
"['Blaze', 'Solar Power']",Charmander,4,Defense,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,309,45,1,0.6,0,88.1,43,8.5
"['Blaze', 'Solar Power']",Charmander,4,Hp,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,309,45,1,0.6,0,88.1,39,8.5
"['Blaze', 'Solar Power']",Charmander,4,Sp Attack,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,309,45,1,0.6,0,88.1,60,8.5
"['Blaze', 'Solar Power']",Charmander,4,Sp Defense,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,309,45,1,0.6,0,88.1,50,8.5
"['Blaze', 'Solar Power']",Charmander,4,Speed,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,309,45,1,0.6,0,88.1,65,8.5
"['Blaze', 'Solar Power']",Charmeleon,5,Attack,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,405,45,1,1.1,0,88.1,64,19
"['Blaze', 'Solar Power']",Charmeleon,5,Defense,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,405,45,1,1.1,0,88.1,58,19
"['Blaze', 'Solar Power']",Charmeleon,5,Hp,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,405,45,1,1.1,0,88.1,58,19
"['Blaze', 'Solar Power']",Charmeleon,5,Sp Attack,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,405,45,1,1.1,0,88.1,80,19
"['Blaze', 'Solar Power']",Charmeleon,5,Sp Defense,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,405,45,1,1.1,0,88.1,65,19
"['Blaze', 'Solar Power']",Charmeleon,5,Speed,fire,,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,405,45,1,1.1,0,88.1,80,19
"['Blaze', 'Solar Power']",Charizard,6,Attack,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,634,45,1,1.7,0,88.1,104,90.5
"['Blaze', 'Solar Power']",Charizard,6,Defense,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,634,45,1,1.7,0,88.1,78,90.5
"['Blaze', 'Solar Power']",Charizard,6,Hp,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,634,45,1,1.7,0,88.1,78,90.5
"['Blaze', 'Solar Power']",Charizard,6,Sp Attack,fire,flying,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,634,45,1,1.7,0,88.1,159,90.5
